Geographic;City;share_white;share_black;share_native_american;share_asian;share_hispanic
IA;University Park city;96.1;0;1.8;1.4;0.8
TX;University Park city;94.2;0.9;0.2;2.7;4
MD;University Park town;78.5;9.3;0.1;4.7;11.3
IL;University Park village;6.1;89.8;0.1;0.8;2.5
WA;University Place city;71;8.5;0.8;9;6.7
ND;Upham city;96.2;0.8;0.8;0.8;0
PA;Upland borough;51.3;41.3;0.3;0.8;5.8
CA;Upland city;65.6;7.3;0.7;8.4;38
IN;Upland town;94.6;1.6;0.2;1.2;2.3
NE;Upland village;99.3;0;0;0;1.4
MO;Uplands Park village;2;96.4;1.1;0;1.1
OH;Upper Arlington city;92.1;0.8;0.1;4.9;1.6
CO;Upper Bear Creek CDP;96.2;0.2;1.1;0.4;1.8
NY;Upper Brookville village;86.8;0.9;0.1;9.5;4.7
WA;Upper Elochoman CDP;96.9;0;2.6;0;2.1
PA;Upper Exeter CDP;99.6;0.3;0;0;1
WV;Upper Falls CDP;96.8;1.1;0.4;0.3;0.4
NM;Upper Fruitland CDP;1;0;95.6;0;3.9
FL;Upper Grand Lagoon CDP;91.2;2.3;0.5;1.6;4.6
AK;Upper Kalskag city;6.7;0.5;81.4;0;0
CA;Upper Lake CDP;80;0.7;3.1;0.7;23
MD;Upper Marlboro town;33.8;57.8;0.2;1.1;4.1
NJ;Upper Montclair CDP;84;6.5;0.1;4.2;5.6
NY;Upper Nyack village;89.3;3.9;0.1;2.5;6.5
NJ;Upper Pohatcong CDP;94.6;2.2;0;1.1;3.9
NJ;Upper Saddle River borough;86.5;1.4;0.1;10.1;4.3
OH;Upper Sandusky city;95;0.3;0.2;0.8;4.3
AZ;Upper Santan Village CDP;1.6;0.4;96.8;0;6.7
PA;Upper St. Clair CDP;92.1;0.8;0;5.7;1.3
NJ;Upper Stewartsville CDP;97.2;0.9;1.4;0;2.4
MN;Upsala city;95.6;0.9;0.7;0.5;4
MA;Upton CDP;95.6;0.9;0.2;1.9;2.1
KY;Upton city;95.6;1.5;0.6;0.1;0.4
WY;Upton town;95.6;0.2;1.7;0.5;2.3
LA;Urania town;68.3;30.5;0.2;0.1;1.4
HI;Urban Honolulu CDP;17.9;1.5;0.2;54.8;5.4
MD;Urbana CDP;66.7;9;0.3;17.5;10.1
IL;Urbana city;60.4;16.3;0.3;17.8;5.2
IA;Urbana city;97.5;0.3;0;0.3;1
MO;Urbana city;98.1;0;0.5;0;0.7
OH;Urbana city;89.7;5.4;0.4;0.7;2
OH;Urbancrest village;26.4;55.1;0.1;2.9;3.8
IA;Urbandale city;91.1;2.8;0.1;3.5;3.1
MN;Urbank city;100;0;0;0;0
VA;Urbanna town;90.5;7.4;0;0.6;0
AL;Uriah CDP;70.1;20.7;4.1;0.3;2
MO;Urich city;96.8;1.2;1;0;0.4
WY;Urie CDP;99.6;0;0;0;1.1
IL;Ursa village;98.6;0.2;0.3;0.3;0.6
PA;Ursina borough;99.6;0;0;0.4;0.4
NV;Ursine CDP;100;0;0;0;0
IA;Ute city;98.7;0.3;0.5;0;0.8
NM;Ute Park CDP;84.5;0;1.4;0;26.8
PA;Utica borough;99.5;0;0.5;0;1.1
SC;Utica CDP;72.9;20.9;0.3;0.5;5.3
KS;Utica city;95.6;0.6;0;0.6;1.3
MI;Utica city;90.4;1.9;0.5;3.5;3.8
MN;Utica city;95.9;0;1.7;0;3.4
NY;Utica city;69;15.3;0.3;7.4;10.5
IN;Utica town;89.6;3.4;0.8;1.9;3.4
MS;Utica town;27.4;64.1;0.1;0;8.7
SD;Utica town;86.2;4.6;1.5;0;4.6
MO;Utica village;98.5;0;0.4;0;2.2
NE;Utica village;98;0.2;0.2;0.9;1.4
OH;Utica village;97.7;0.5;0.1;0.2;0.9
TX;Utopia CDP;94.7;0;0;0;9.3
AZ;Utting CDP;90.5;0;0;2.4;1.6
GA;Uvalda city;60.4;34.8;0;0.5;3.2
TX;Uvalde city;78;0.8;0.5;0.7;78.4
TX;Uvalde Estates CDP;57.3;0.4;1;0.4;91.8
CA;Vacaville city;66.3;10.3;0.9;6.1;22.9
WA;Vader city;87.9;0;2.3;1;4.5
NM;Vadito CDP;60;0;0.7;0;92.2
MN;Vadnais Heights city;84.9;3.6;0.5;7.6;2.8
NM;Vado CDP;61.1;0.9;0.7;0.2;95.5
MS;Vaiden town;32.6;65.3;0.1;0;0.5
AZ;Vail CDP;84.2;3.3;0.9;2.4;19.4
IA;Vail city;89.2;0.7;0.9;0;12.4
CO;Vail town;93.4;0.6;0.5;1.7;7.4
NY;Vails Gate CDP;61.7;16.5;0.2;6.4;26.2
AZ;Vaiva Vo CDP;0;0.8;97.7;0;0.8
CA;Val Verde CDP;56.9;4.3;1.1;1.9;61.1
TX;Val Verde Park CDP;84;0.5;0.6;0.1;91.8
NY;Valatie village;93.8;1.4;0.4;0.5;10.2
WI;Valders village;97.2;0;0.1;0;6.3
NC;Valdese town;92.7;1.3;0.1;3.1;2.6
CO;Valdez CDP;76.6;0;2.1;0;61.7
AK;Valdez city;81.5;0.6;8.2;1.9;4.7
GA;Valdosta city;43.3;51.1;0.3;1.7;4
SD;Vale CDP;97.8;0;0.7;0;2.2
OR;Vale city;86.7;0.3;1.3;0.4;23.4
MD;Vale Summit CDP;99.3;0;0;0;0
PA;Valencia borough;99.5;0.2;0;0.2;0.4
NM;Valencia CDP;72.4;0.8;4.4;1.1;56.2
AZ;Valencia West CDP;60.6;3.3;4.2;1.6;65.1
AZ;Valentine CDP;5.3;0;92.1;0;5.3
NE;Valentine city;86.3;0.1;9.1;0.5;1.6
TX;Valentine town;85.1;0;2.2;0;58.2
IA;Valeria city;96.5;3.5;0;0;0
NY;Valhalla CDP;86;1.3;0.1;6.3;10.1
MT;Valier town;87.4;0;8.1;0.6;1
IL;Valier village;98.2;0.7;0.6;0;1
CA;Valinda CDP;48.5;1.9;1.1;11.9;78.8
AZ;Valle CDP;61.5;0.6;9.6;0.2;32.2
NC;Valle Crucis CDP;98.1;0;0;0.2;2.4
TX;Valle Hermoso CDP;(X);(X);(X);(X);(X)
TX;Valle Verde CDP;(X);(X);(X);(X);(X)
AZ;Valle Vista CDP;93.6;0.5;3.1;0.8;4.7
CA;Valle Vista CDP;79.2;3;1.7;1.9;27.6
TX;Valle Vista CDP;88.7;0;0;0.2;100
CA;Vallecito CDP;90;0;1.4;2.5;7.5
CA;Vallejo city;32.8;22.1;0.7;24.9;22.6
CA;Valley Acres CDP;81.2;0.2;1.9;0.2;23
WV;Valley Bend CDP;99.6;0;0.2;0;0.2
OK;Valley Brook town;67.2;4.2;7.1;1.7;20.9
WA;Valley CDP;82.2;2.7;6.8;0;1.4
CA;Valley Center CDP;73.1;0.9;2;3.2;27.8
KS;Valley Center city;94.2;0.8;0.8;0.4;4.6
AL;Valley city;64;33;0.1;1.2;1.7
NE;Valley city;95.3;1.3;0.4;0.5;4.1
ND;Valley City city;95.2;1.2;0.7;0.8;1.5
IL;Valley City village;100;0;0;0;0
NY;Valley Cottage CDP;78.1;5.7;0.3;10.7;10.9
RI;Valley Falls CDP;91.7;1.9;0.6;0.9;7.9
SC;Valley Falls CDP;68.8;24.6;0.3;1.7;6.6
KS;Valley Falls city;96.2;2.1;1;0.1;1.8
NY;Valley Falls village;96.8;0.2;0.4;1.1;1.5
CA;Valley Ford CDP;71.4;0.7;0;0;35.4
AL;Valley Grande city;75.2;23;0.4;0.4;0.5
PA;Valley Green CDP;93.8;1.8;0.3;0.6;3.7
WV;Valley Grove village;98.9;0;0.5;0;1.1
WV;Valley Head CDP;100;0;0;0;0
AL;Valley Head town;91.9;1.8;0.9;0.2;3
OH;Valley Hi village;95.8;1.4;0.9;0;3.3
NC;Valley Hill CDP;91.7;2.2;0.1;0.9;7.1
CA;Valley Home CDP;81.6;0.9;1.3;0;14.9
TX;Valley Mills city;88;4.7;0.4;0.2;15.5
MO;Valley Park city;85.1;4;0.4;6.3;3.9
OK;Valley Park town;77.9;0;14.3;0;1.3
CA;Valley Ranch CDP;98.2;0;0;0;1.8
CA;Valley Springs CDP;85.8;1;1.1;2;12.8
SD;Valley Springs city;95.9;0.5;0.7;0.1;1.2
AR;Valley Springs town;95.6;0.5;1.1;0;3.8
NY;Valley Stream village;57.2;18.6;0.3;11.4;22.2
PA;Valley View CDP (Schuylkill County);98.5;0.2;0.1;0.2;0.7
PA;Valley View CDP (York County);91.8;3.3;0.4;1.6;3.7
TX;Valley View city;94.5;0.3;1.3;0.1;5.7
OH;Valley View village;96.9;0.2;0;0.9;1.3
CA;Valley Wells CDP;(X);(X);(X);(X);(X)
PA;Valley-Hi borough;100;0;0;0;0
OH;Valleyview village;90;5;0.3;0.8;4.4
OK;Valliant town;63.8;13.1;13.3;0.7;3.3
IN;Vallonia CDP;98.5;0;0;0.3;1.2
IL;Valmeyer village;98;0.2;0.1;0.2;1.4
CO;Valmont CDP;96.6;0;0;0;0
NV;Valmy CDP;70.3;0;18.9;0;5.4
FL;Valparaiso city;84.6;5.7;0.6;3.6;5.5
IN;Valparaiso city;89.9;3.3;0.3;2.1;7.1
NE;Valparaiso village;97.7;0;0.2;0.4;1.2
FL;Valrico CDP;81.4;8.7;0.3;3.9;16.3
FL;Vamo CDP;93.8;1.4;0.3;1.3;7.8
TX;Van Alstyne city;88.7;4.5;0.8;0.7;9.4
IN;Van Bibber Lake CDP;98.8;0;0.2;0.6;0.6
ME;Van Buren CDP;96.9;0.3;0.4;0.1;0.7
AR;Van Buren city;82.3;2.1;2.4;3.1;11.6
IN;Van Buren town;98;0;0.2;0.3;0.9
MO;Van Buren town;96;0;0.9;0;2.9
OH;Van Buren village;97.3;0;0;0;4.3
WV;Van CDP;98.6;0.5;0;0;0
TX;Van city;94;1.5;0.9;0.5;10.3
WI;Van Dyne CDP;97.8;0.4;0.4;0.4;0.4
NY;Van Etten village;96.6;0.4;0.2;0;1.9
TX;Van Horn town;78;0.6;1.3;1;79.5
IA;Van Horne city;99;0;0.3;0.1;0.9
IA;Van Meter city;97.9;0.2;0.2;0.6;0.6
WY;Van Tassell town;100;0;0;0;0
TX;Van Vleck CDP;78.8;13;0.4;0.4;30
PA;Van Voorhis CDP;98.2;0;0;0.6;0
IA;Van Wert city;96.1;0;2.2;0;1.3
OH;Van Wert city;94.6;1.7;0.1;0.4;4
AL;Vance town;88.8;7.2;0.4;0.6;5.6
SC;Vance town;10;80;2.9;6.5;0.6
NC;Vanceboro town;65.1;30;0.6;0;2.6
KY;Vanceburg city;98.3;0.3;0.4;0;0.5
MS;Vancleave CDP;90.7;5.3;0.8;0.7;1.6
WA;Vancouver city;80.9;2.9;1;5;10.4
IL;Vandalia city;83.5;13.5;0.2;0.3;2.9
MO;Vandalia city;81.4;15.7;0.4;0.4;1.8
OH;Vandalia city;91.5;4.1;0.1;1.4;1.6
MI;Vandalia village;41.5;42.2;0.3;7.6;1.7
NC;Vandemere town;46.9;45.7;0.4;0.4;4.7
CA;Vandenberg AFB CDP;69.4;9.2;0.8;6.2;18.5
CA;Vandenberg Village CDP;77.4;4.2;0.9;5;18.7
NC;Vander CDP;64;27.1;3.6;0.9;4.4
PA;Vanderbilt borough;95.8;1.9;0;0;0.2
TX;Vanderbilt CDP;83;6.6;0.3;0;40.5
MI;Vanderbilt village;95.6;0.7;0.9;0;0.9
MI;Vandercook Lake CDP;95.3;1.3;0.2;0.2;2.3
PA;Vandergrift borough;91.6;4.8;0.1;0.3;0.9
AR;Vandervoort town;98.9;0;1.1;0;1.1
AL;Vandiver CDP;97.9;0.7;0.2;0.1;1.4
MO;Vandiver village;100;0;0;0;0
PA;Vandling borough;96;1.3;0.7;0.3;2.1
MO;Vanduser village;91;3;0.4;0;3.4
TN;Vanleer town;99.5;0;0;0;0.5
OH;Vanlue village;98.3;0.3;0;0;5.3
NC;Vann Crossroads CDP;82.7;6;1.8;0.3;8.3
VA;Vansant CDP;97.2;0.2;0;0.2;0.2
WA;Vantage CDP;86.5;0;8.1;0;17.6
MS;Vardaman town;47.3;28.2;0.1;0;33.8
IA;Varina city;97.2;2.8;0;0;7
IL;Varna village;96.1;0.5;0.5;1.6;1.8
LA;Varnado village;41.2;58.5;0.2;0;0.3
NC;Varnamtown town;97.6;0.9;0;0;1.5
GA;Varnell city;83;4.3;0.6;2.8;17.3
SC;Varnville town;34.6;63.1;0.1;0.8;0.4
WA;Vashon CDP;92.3;0.8;0.6;1.6;4.1
NC;Vass town;79.6;13.1;2.6;0;9.6
KS;Vassar CDP;98.7;0;0;0.4;0.9
MI;Vassar city;87.4;8.8;0.4;0.1;3
MT;Vaughn CDP;90.7;0.9;3.3;0.3;1.4
WA;Vaughn CDP;93.4;0.6;0.6;1.3;3.9
NM;Vaughn town;68.2;1.6;1.3;0;86.3
OH;Vaughnsville CDP;96.6;0;0;1.1;1.9
SD;Veblen city;37.1;0.2;12.6;0;52.9
IN;Veedersburg town;94.8;0.1;0.5;0.1;6.2
TX;Vega city;93.2;1.1;0.5;0.5;9.8
NM;Veguita CDP;78.9;0;2.2;0;74.6
NM;Velarde CDP;61.2;0;3.6;0;84.9
MO;Velda City city;3;95.4;0.1;0.1;0.5
MO;Velda Village Hills village;0.9;98.5;0;0;0
OK;Velma town;88.1;0.6;8.9;0;2.7
ND;Velva city;98.7;0;0.4;0.1;1.4
PA;Venango borough;98.3;0.4;0;0;0
NE;Venango village;93.3;0;0.6;0;9.8
OH;Venedocia village;97.6;0.8;0;0;0
IL;Venedy village;96.4;0;0;2.2;0.7
WA;Venersborg CDP;94.6;0.6;0.7;1.3;2.4
OR;Veneta city;91.8;0.4;1.4;0.8;5.5
IL;Venetian Village CDP;94.8;0.7;0.1;1.2;6
AK;Venetie CDP;1.8;0;91.6;0.6;1.8
LA;Venice CDP;84.7;5.9;2;1;1.5
NE;Venice CDP;97.3;0;0;0;0
FL;Venice city;97.3;0.6;0.1;0.7;2.7
IL;Venice city;3.3;94.1;0.2;0.2;1.7
FL;Venice Gardens CDP;94.8;0.9;0.1;1.4;5
AZ;Ventana CDP;0;0;100;0;4.1
NJ;Ventnor City city;75.8;4.3;0.5;8.7;18
LA;Ventress CDP;91.6;6.7;0.1;0;2.7
NM;Ventura CDP;81.6;0.2;0.9;0.4;36.5
IA;Ventura city;98.3;0;0;0.6;1.3
ND;Venturia city;100;0;0;0;0
TX;Venus town;79.4;13.2;0.5;1.7;24.8
IN;Vera Cruz town;93.8;0;0;0;5
OK;Vera town;75.1;0;9.5;0;0
AZ;Verde Village CDP;85.7;0.5;1.7;0.5;21.6
NE;Verdel village;100;0;0;0;0
OK;Verden town;86.4;0;7.5;0;4.3
CA;Verdi CDP;94.4;0;0;0.6;6.2
NV;Verdi CDP;95.5;0.2;0.4;0.9;4.6
NE;Verdigre village;96.3;0;1.9;0;0.2
OK;Verdigris town;77.4;0.4;13.3;0.6;3.9
SD;Verdon town;100;0;0;0;0
NE;Verdon village;97.1;0;1.2;0;2.9
WV;Verdunville CDP;99.6;0;0;0;0.3
MN;Vergas city;99.1;0.3;0;0;0.3
VT;Vergennes city;92.8;3;0.3;0.9;2.6
IL;Vergennes village;96.3;0.7;0.3;0.3;1.7
WA;Verlot CDP;92.3;1.4;1.1;0.7;3.9
OH;Vermilion city;96.8;0.3;0.2;0.3;2.8
IL;Vermilion village;99.6;0;0;0;1.8
KS;Vermillion city;94.6;0;1.8;0;5.4
MN;Vermillion city;96.4;0.2;0;1.4;0.2
SD;Vermillion city;89.6;1.7;3.6;2.1;2.4
IL;Vermont village;98.7;0.1;0.1;0.3;1.3
MI;Vermontville village;97.1;0;0.8;0.3;2.4
UT;Vernal city;89.6;0.5;2.2;0.7;11.8
MN;Verndale city;94.4;0;1;0.2;2.7
AZ;Vernon CDP;86.1;0;9;0.8;2.5
CO;Vernon CDP;89.7;0;0;6.9;24.1
NJ;Vernon Center CDP;93.8;1;0.1;1.7;8.3
MN;Vernon Center city;98.8;0.9;0;0;1.8
AL;Vernon city;79.4;18.1;0.3;0;1.7
CA;Vernon city;88.4;3.6;0;1.8;42.9
FL;Vernon city;78.7;14.3;3.5;0.3;3.9
TX;Vernon city;75.7;9.4;1.1;0.8;28.4
IL;Vernon Hills village;71.4;2.2;0.2;19.3;11.4
IN;Vernon town;97.5;0.3;0;0.3;0.6
UT;Vernon town;95.1;0.4;0;0;6.2
NJ;Vernon Valley CDP;96.3;0.2;0.1;1.2;4.9
IL;Vernon village;100;0;0;0;1.6
MI;Vernon village;97.3;0.1;0.5;0.1;2.6
NY;Vernon village;96.7;0.9;0.3;0.6;1.6
GA;Vernonburg town;98.4;0;0;1.6;0
OR;Vernonia city;94.1;0.3;1.3;0.5;4.2
FL;Vero Beach city;87.5;4.8;0.3;1.8;10.7
FL;Vero Beach South CDP;88.9;5.3;0.4;1.6;9.5
PA;Verona borough;89.9;7.8;0.1;0.2;2.2
KY;Verona CDP;98.1;0.1;0;0.4;1.3
NY;Verona CDP;95.3;0.7;0.2;1.4;2
VA;Verona CDP;88.7;8.3;0.4;0.7;2.8
MS;Verona city;24.6;70;0.2;0.3;4.6
ND;Verona city;97.6;0;1.2;0;0
WI;Verona city;93.3;1.3;0.3;2.5;2.4
MO;Verona town;68.2;0;1.5;0;45.7
IL;Verona village;90.7;0;1.9;0;9.3
OH;Verona village;98.6;0;0;0;0
FL;Verona Walk CDP;95.6;1.2;0.1;0.8;8.2
NY;Verplanck CDP;89.4;1.4;0.2;1.9;14.1
PA;Versailles borough;90.8;6.2;0.1;0.7;1
KY;Versailles city;83.5;8;0.3;0.5;11.9
MO;Versailles city;92.4;2.8;0.8;0.3;3.1
IN;Versailles town;98.2;0.2;0;0.3;0.4
IL;Versailles village;98.5;0.4;0.4;0;1.5
OH;Versailles village;99;0.2;0.1;0;0.6
WI;Vesper village;96.7;0;0.7;0.3;1
MN;Vesta city;94.7;0.9;0.6;1.9;0
AL;Vestavia Hills city;90.4;3.8;0.2;3.8;2.5
WY;Veteran CDP;87;0;8.7;0;0
IN;Vevay town;97.1;0.5;0;0.5;1.1
UT;Veyo CDP;94.6;0;0.8;0.4;5.2
OK;Vian town;56.6;5;28.9;0.4;3
SD;Viborg city;98.6;0;0.8;0;0.6
MO;Viburnum city;98.1;0.4;0.6;0;1.2
KY;Vicco city;97.6;0.3;0;0.9;0.6
OK;Vici town;94.8;0.3;1;0;6.9
OH;Vickery CDP;99.2;0;0;0;0.8
AZ;Vicksburg CDP;84.1;2.3;0.2;0;24.3
PA;Vicksburg CDP;99.6;0.4;0;0;0
MS;Vicksburg city;31.3;66.1;0.2;0.9;1.7
MI;Vicksburg village;95.9;0.6;0.3;0.6;3.2
CA;Victor CDP;60.4;0;2.4;6.5;51.2
MT;Victor CDP;94.2;0.4;1.5;0.3;1.9
CO;Victor city;91.9;0.5;2.5;0.5;7.8
ID;Victor city;79.3;0.5;1;0.5;22.6
IA;Victor city;98.1;0.1;0;0.3;1.7
NY;Victor village;96.4;0.3;0.3;0.9;1.9
KS;Victoria city;98.5;0.2;0.3;0;0.5
MN;Victoria city;95.6;0.5;0.1;2;2
TX;Victoria city;76.2;7.7;0.6;1.4;48.3
AR;Victoria town;94.6;0;0;0;5.4
VA;Victoria town;67.6;29.3;0;0.2;2
TX;Victoria Vera CDP;90;0;0;0;100
IL;Victoria village;99.1;0.3;0;0;0.9
CA;Victorville city;48.5;16.8;1.4;4;47.8
NJ;Victory Gardens borough;58.5;16.3;0.7;2.4;63
NJ;Victory Lakes CDP;90.3;5.2;0.2;0.9;3.6
NY;Victory village;94.5;0.5;0.2;0;2.5
GA;Vidalia city;54.3;40.7;0.2;1.4;4.6
LA;Vidalia town;72;26.2;0.2;0.4;1.5
GA;Vidette city;67.9;27.7;0;1.8;0.9
TX;Vidor city;95.7;0.1;0.5;0.5;5.1
LA;Vienna Bend CDP;47.6;46.5;0.8;0.3;1.6
NJ;Vienna CDP;92.6;0.7;0.1;0.6;5.5
OH;Vienna Center CDP;97.7;0.8;0;0;0.5
GA;Vienna city;24.9;68.8;0.1;0.5;8
IL;Vienna city;95.2;1.1;0.1;0.3;3.8
MO;Vienna city;98.4;0.2;0.7;0;0.5
WV;Vienna city;95.9;1.1;0.2;1.4;0.8
LA;Vienna town;94;3.4;0;1.3;1.8
MD;Vienna town;90.8;7;0;0;0.7
SD;Vienna town;95.6;0;0;0;0
VA;Vienna town;75.5;3.2;0.3;12.1;12
FL;Viera East CDP;87.9;4.8;0.2;3.3;7.9
FL;Viera West CDP;85.2;5.5;0.2;4.7;10.3
CA;View Park-Windsor Hills CDP;6;84.8;0.4;1.3;6.5
MN;Viking city;96.2;0;0;0;1.9
CO;Vilas town;92.1;0;0.9;0.9;14
SD;Vilas town;100;0;0;0;0
TX;Villa del Sol CDP;81.7;0;0;0;95.4
IL;Villa Grove city;96.2;0.2;0.3;0.3;2.4
VA;Villa Heights CDP;67.8;30.1;0;0.1;4.3
KY;Villa Hills city;96.3;0.7;0.1;1.3;1.4
TX;Villa Pancho CDP;91;0.3;0.8;0;96.3
CA;Villa Park city;78.3;0.7;0.6;14.7;10.3
IL;Villa Park village;81;4.3;0.3;5.2;17.8
GA;Villa Rica city;58.3;33.5;0.3;1.7;7.6
MO;Villa Ridge CDP;96.4;1.3;0.4;0.5;1.7
TX;Villa Verde CDP;84.6;0.3;0.8;0.7;95.2
NY;Village Green CDP;93.9;2.2;0.4;1.2;2.2
PA;Village Green-Green Ridge CDP;96.6;1.4;0.1;0.7;1.8
MI;Village of Clarkston city;97.7;0.2;0.1;0.6;1.8
MO;Village of Four Seasons village;97.6;0.9;0.5;0.4;1.1
MI;Village of Grosse Pointe Shores city;92.8;1.9;0.3;3.8;1.9
AZ;Village of Oak Creek (Big Park) CDP;92.2;0.6;0.6;1.5;9.9
NY;Village of the Branch village;94.2;1.3;0;2.3;2.8
PA;Village Shires CDP;95.7;1;0.1;2.4;1.2
LA;Village St. George CDP;62.6;30.9;0.1;3.1;6
FL;Villano Beach CDP;96.1;0.4;0.6;1;3.8
NM;Villanueva CDP;52.4;0;3.5;0;89.5
MN;Villard city;95.7;0;2;0.8;0.4
TX;Villarreal CDP;100;0;0;0;100
FL;Villas CDP;88.1;4.2;0.2;1.5;13.1
NJ;Villas CDP;93.5;2;0.2;0.3;6.2
LA;Ville Platte city;33.8;64.4;0.2;0.6;1
IA;Villisca city;97.4;0.2;0.9;0.2;3
AR;Vilonia city;96.1;0.6;0.7;0.2;2.6
CA;Vina CDP;82.3;0.4;3;0.8;17.7
AL;Vina town;94.7;1.1;0.3;0.6;2.2
IN;Vincennes city;91.9;4.7;0.3;0.7;1.9
CA;Vincent CDP;54.5;2;0.9;7.1;74.9
OH;Vincent CDP;95.9;2.9;0.6;0;2.1
IA;Vincent city;94.3;0;0;0.6;6.3
AL;Vincent town;78.7;19.8;0.4;0.1;0.7
PA;Vinco CDP;98.6;0.4;0.1;0.2;0.3
KY;Vine Grove city;76;14.8;0.5;3.2;4.4
CA;Vine Hill CDP;68.3;3;0.9;5.2;31.1
AL;Vinegar Bend CDP;15.1;79.2;2.6;0.5;0
CO;Vineland CDP;88.8;0;2.4;0;34.7
MN;Vineland CDP;9.9;0.6;86;0;1.8
NJ;Vineland city;67;14.2;0.7;1.7;38
CA;Vineyard CDP;45.5;9.8;0.7;29.4;17.8
MA;Vineyard Haven CDP;86.4;3.7;0.7;0.4;2.7
MI;Vineyard Lake CDP;97.9;0.4;0.4;0;1.1
UT;Vineyard town;86.3;0.7;1.4;1.4;15.8
FL;Vineyards CDP;96.3;0.9;0.1;1.3;4.6
IA;Vining city;90;0;10;0;0
KS;Vining city;100;0;0;0;0
MN;Vining city;91;0;0;0;1.3
GA;Vinings CDP;63.5;28.1;0.2;4.2;5.2
OK;Vinita city;63.8;3.9;21.3;0.6;3.1
MO;Vinita Park city;30.1;64.9;0.5;0.2;4.7
MO;Vinita Terrace village;22.7;72.9;0;0.4;1.1
IA;Vinton city;97.8;0.3;0.2;0.3;1
LA;Vinton town;75.3;20.7;0.6;0.4;2.7
VA;Vinton town;90;5.6;0.1;1;2.8
OH;Vinton village;99.1;0.9;0;0;0.5
TX;Vinton village;86.4;0.6;0.1;0.1;94.4
PA;Vintondale borough;98.8;0;0;0.5;0
NY;Viola CDP;96.3;1.5;0.1;0.6;3.8
KS;Viola city;91.5;1.5;1.5;0;8.5
AR;Viola town;96.1;0.6;0;0;0.3
DE;Viola town;91.1;7;0;0.6;5.7
TN;Viola town;89.3;6.1;0;0;7.6
IL;Viola village;98.2;0;0;0.1;3.8
WI;Viola village;98.6;0.6;0;0;0.6
LA;Violet CDP;40.5;55.4;0.7;0.6;4.7
IL;Virden city;98.5;0.1;0.1;0.6;0.8
NM;Virden village;92.8;0;0;0.7;21.7
KY;Virgie CDP;100;0;0;0;0.7
KS;Virgil city;95.8;0;1.4;0;0
SD;Virgil town;100;0;0;0;0
IL;Virgil village;94.5;1.8;0.6;1.5;3
VA;Virgilina town;87;7.1;1.9;0;0.6
UT;Virgin town;91.8;0.5;2.2;0.5;6.4
VA;Virginia Beach city;67.7;19.6;0.4;6.1;6.6
IL;Virginia city;97.9;0.6;0.2;0.2;2.2
MN;Virginia city;91.7;1.6;3;0.5;1.5
NV;Virginia City CDP;91.6;0.4;1.8;0.9;5.1
MT;Virginia City town;91.6;0;0;0.5;1.6
FL;Virginia Gardens village;90.7;2.7;0;1.7;77.3
NE;Virginia village;91.7;0;1.7;0;0
PA;Virginville CDP;98.7;0.3;0;0;1.3
WI;Viroqua city;97.1;0.6;0.3;0.6;1
CA;Visalia city;64.5;2.1;1.4;5.4;46
NJ;Vista Center CDP;93.6;3.3;0.1;2.6;5.3
CA;Vista city;63.5;3.3;1.2;4.2;48.4
CA;Vista Santa Rosa CDP;58.1;0.3;4.8;0.2;85
MO;Vista village;100;0;0;0;0
WY;Vista West CDP;97.1;0;0.3;0.1;1.9
SD;Vivian CDP;95.8;0;0.8;0;5.9
WV;Vivian CDP;95.1;3.7;0;0;1.2
LA;Vivian town;55.8;41.4;0.7;0.5;1.4
PA;Volant borough;99.4;0;0;0;1.2
CA;Volcano CDP;94.8;0;1.7;1.7;6.1
HI;Volcano CDP;51.5;0.7;0.4;11.6;8.8
TX;Volente village;91.7;0.8;0.2;3.7;7.9
IA;Volga city;97.1;0;0;0;1.4
SD;Volga city;98.2;0.3;0.4;0.3;2.7
SD;Volin town;99.4;0;0;0;0
IL;Volo village;82.1;2;0.2;8.2;12.2
CA;Volta CDP;81.7;2.8;0;0.4;53.7
ND;Voltaire city;95;2.5;0;0;0
TX;Von Ormy city;70.5;0.4;0.5;0.4;86.4
CO;Vona town;94.3;0;0;0;3.8
TN;Vonore town;96.4;1.1;0.5;0.3;2
NJ;Voorhees CDP;16.8;62.9;1.4;5.9;24
NY;Voorheesville village;96.5;0.8;0.2;1.5;2.2
PA;Vowinckel CDP;99.3;0;0;0;0.7
AL;Vredenburgh town;6.7;92.9;0.3;0;1.3
IN;Wabash city;96.3;0.4;1;0.5;2
MN;Wabasha city;96.2;0.8;0.4;0.2;2.3
FL;Wabasso Beach CDP;98.8;0.2;0;0.6;1.7
FL;Wabasso CDP;91.1;5.7;0.2;0.2;4.4
MN;Wabasso city;97.4;0.7;0.3;0.4;3
AR;Wabbaseka town;22.4;75.7;0.4;0;1.6
WI;Wabeno CDP;84.9;0;9.2;0;1.9
VA;Wachapreague town;92.7;6.9;0;0;2.2
FL;Wacissa CDP;78.5;19.7;0;0;2.3
GA;Waco city;97.1;1.4;0;0.2;1.2
MO;Waco city;92;0;0;0;0
TX;Waco city;59.2;21.5;0.6;1.8;29.6
NC;Waco town;79.1;19.6;0;0;1.2
NE;Waco village;97;0.4;0;0;2.5
MN;Waconia city;95.7;1.1;0.3;1.1;2.5
MI;Wacousta CDP;94.5;1.5;0.1;0.8;1.8
