Geographic;City;share_white;share_black;share_native_american;share_asian;share_hispanic
AR;Almyra town;97.9;2.1;0;0;0
OR;Aloha CDP;70.9;2.6;1;8.9;21.1
CA;Alondra Park CDP;43.2;9.4;0.4;16.2;50.1
IL;Alorton village;0.9;97.7;0;0;0.2
CA;Alpaugh CDP;37.1;0.4;1.1;0.4;84.5
MI;Alpena city;96.8;0.5;0.4;0.7;1
AR;Alpena town;93.9;0;2;0.3;1.5
SD;Alpena town;86.7;0;0.7;0;23.8
NJ;Alpha borough;93.1;2.4;0;1.5;5.3
MN;Alpha city;94;0;0;2.6;0.9
IL;Alpha village;97.5;0.4;0;0.1;1.9
MI;Alpha village;100;0;0;0;0
GA;Alpharetta city;70;10.9;0.2;13.4;8.5
NJ;Alpine borough;68.1;2.4;0.1;26.1;4.8
AZ;Alpine CDP;95.9;0;0.7;0;6.2
CA;Alpine CDP;87.3;1.2;1.6;2.2;14.6
CO;Alpine CDP;93.1;0.6;1.1;1.1;11.5
OR;Alpine CDP;90.6;0;0.6;2.3;7
TX;Alpine city;85.4;1.4;1.2;0.8;51.2
UT;Alpine city;95.7;0.6;0.2;0.9;2.4
WY;Alpine Northeast CDP;98;0;0;1;2
WY;Alpine Northwest CDP;96.7;0;0;0.4;6.6
WY;Alpine town;95.2;0.4;0.2;0.5;5.6
CA;Alpine Village CDP;79.8;0;16.7;0.9;5.3
PA;Alsace Manor CDP;98.7;0.2;0.2;0;0.6
OR;Alsea CDP;94.5;0;1.2;0;9.1
ND;Alsen city;100;0;0;0;0
IL;Alsey village;96.5;1.8;0;1.3;3.1
IL;Alsip village;68;18.1;0.4;2.3;19.9
GA;Alston town;84.3;12.6;0;0;1.3
CA;Alta CDP;97;0.2;0.5;0.8;3.8
WY;Alta CDP;97.7;0;0.3;0.5;1.8
IA;Alta city;91.3;1.6;0.2;1.2;15.7
CA;Alta Sierra CDP;93.1;0.3;0.8;1.1;7.1
UT;Alta town;93.5;0;0.3;1.3;4.2
IA;Alta Vista city;99.6;0;0;0;1.1
KS;Alta Vista city;98.2;0.7;0.2;0.2;4.3
CA;Altadena CDP;52.8;23.7;0.7;5.4;26.9
NC;Altamahaw CDP;93.7;3.2;0;0;4
OR;Altamont CDP;86.4;0.7;3.8;0.8;10.5
PA;Altamont CDP;98.3;0.2;0;0.2;1.3
IL;Altamont city;99.5;0.1;0.1;0;0.5
KS;Altamont city;92.7;0.6;1.9;0;2.5
SD;Altamont town;97.1;0;0;0;0
TN;Altamont town;98.5;0;0.6;0;1
UT;Altamont town;96;0;2.2;0;1.3
MO;Altamont village;99.5;0;0.5;0;0
NY;Altamont village;96.5;0.7;0.2;1.3;2.2
FL;Altamonte Springs city;72.5;13.8;0.3;3.4;24.3
VA;Altavista town;70;25.8;0.1;0.6;1.7
MO;Altenburg city;99.1;0.3;0;0;0
FL;Altha town;95.1;1.3;0;0.2;4.9
AR;Altheimer city;10;88.1;0;1;1.4
NY;Altmar village;96.3;1;0.5;0;1.2
TX;Alto Bonito Heights CDP;87.1;0;0;0;100
CA;Alto CDP;87.1;1.1;0.3;4.2;7.2
IL;Alto Pass village;84.9;0.8;2;0.5;25.1
GA;Alto town;57.8;2.3;0.3;3.5;43.6
TX;Alto town;62.7;24.7;0;0.1;20.9
NH;Alton CDP;99;0.2;0;0.4;0.8
IL;Alton city;68.5;26.6;0.2;0.5;1.9
IA;Alton city;95.9;0.7;0.3;0.7;4.7
KS;Alton city;97.1;0;0;0;0
MO;Alton city;95.6;0.5;0.7;0;1.4
TX;Alton city;97;0.2;0.1;0.1;93.6
IN;Alton town;96.4;0;0;0;3.6
UT;Alton town;89.1;0;2.5;2.5;5
CO;Altona CDP;94.4;0.8;0.4;2;5.2
NY;Altona CDP;63.4;32.9;0.5;0.4;9.9
