state;City;share_white;share_black;share_native_american;share_asian;share_hispanic;Median_Income;percent_completed_hs;poverty_rate
KS;Albert ;96.6;0;0.6;0;4.6;56250;96.5;0.6
IA;Albert ;98;0.1;0;0.1;3;44342;92.3;10.5
MN;Albert Lea;90;1.1;0.3;1.1;13.2;40127;86.5;16.2
MN;Alberta ;100;0;0;0;0;66667;96.4;0
VA;Alberta town;59.4;37.6;1.3;0;0.3;33056;83.5;19.7
MT;Alberton town;96;1;0.7;0;1.9;24539;94.7;19.8
NY;Albertson ;70.4;0.3;0.1;24.3;7.3;108750;93.1;2.8
AL;Albertville ;75.9;1.9;0.8;0.5;27.9;32911;72.7;26.7
MN;Albertville ;91.6;2.5;0.3;3;2.8;96315;96.9;1.6
IA;Albia ;97.5;0.3;0.2;0.3;1.9;44230;86.8;13.4
WY;Albin town;93.9;0;0.6;0.6;34.3;40875;79.1;29.6
PA;Albion borough;96.6;0.9;0.3;0.1;1.8;46818;88.8;15.7
CA;Albion ;89.3;0.6;2.4;3;2.4;NA;93.6;43.2
ID;Albion ;96.3;0;0;0;4.5;52813;92.4;25.6
IL;Albion ;97.6;0.3;0.1;0.3;1.4;36250;87.2;19
IA;Albion ;97.8;0.2;0;0;1.8;53750;91.3;3.2
MI;Albion ;63.6;29.9;0.3;1.1;5.8;26817;85.9;32.5
NE;Albion ;98.4;0.2;0.5;0.2;1.8;41397;93.1;12.2
IN;Albion town;97.4;0.4;0.2;0.4;3.2;44097;82.2;21
OK;Albion town;60.4;0.9;22.6;0;0.9;28125;89.5;13.6
WA;Albion town;92.4;0.7;0.5;1;3.1;37875;90.8;13.3
NY;Albion village;83.7;9.2;0.5;0.7;6.3;24205;75.2;29.7
WV;Albright town;97.3;0.3;1;0;0;28438;75.2;34.3
PA;Albrightsville ;94.6;2.5;0;1;6.9;NA;92;9.5
NM;Albuquerque ;69.7;3.3;4.6;2.6;46.7;47030;89;19.2
IA;Alburnett ;98.1;0;0.4;0;1.2;66875;95.8;3.5
PA;Alburtis borough;93;2;0.1;1.3;5.5;73182;92.1;8.3
NM;Alcalde ;20.4;0;3.9;0.4;91.6;45938;91.7;9.5
AK;Alcan Border;90.9;0;0;0;9.1;NA;100;0
SD;Alcester ;97.4;0.1;0.2;0.7;1.5;41350;83.8;5.4
TN;Alcoa ;79.1;14;0.2;0.5;6.8;36215;87.2;24.8
SC;Alcolu ;45.2;52;0;0.7;3.3;23750;80.9;34
MS;Alcorn State;1.9;94.6;0.1;1.2;1.9;NA;93;3
WY;Alcova ;90.8;0;0;0;11.8;NA;NA;NA
NE;Alda village;85.2;0.9;0;0;16;45982;76.2;14.8
PA;Aldan borough;76.3;18.5;0.1;2.6;2.1;62212;94;7.9
MI;Alden ;99.2;0;0;0;1.6;46875;88.5;14.3
IA;Alden ;97.5;0.5;0.1;0.3;1.1;48173;84.2;7.7
KS;Alden ;94.6;0;0;0.7;1.4;60625;90.3;7.3
MN;Alden ;96.7;0;0.5;0;3.9;49911;91.6;6.7
NY;Alden village;97.4;0.5;0.3;1.2;0.5;52005;96.2;11.2
MT;Alder ;99;0;0;1;1;30625;95.3;8
WA;Alder ;94.7;0.9;1.8;0.4;3.5;NA;100;10.9
CA;Alderpoint ;91.4;0;4.8;0.5;5.4;33015;70.5;40.8
OK;Alderson town;67.4;3.3;19.7;0.3;3.3;44063;87;24.7
WV;Alderson town;91;5;0.3;0.3;2.9;24643;90.9;28.5
WA;Alderton ;87.7;0.7;1.2;2.2;7.2;66223;88.4;13.8
WA;Alderwood Manor;68.7;4.1;0.8;17.7;6.8;67222;92.1;13.1
TX;Aldine ;58.7;2.9;1;2;82.1;33241;46.9;38.9
GA;Aldora town;82.5;9.7;1.9;0;6.8;25809;71;16.9
MN;Aldrich ;100;0;0;0;0;NA;86.4;8.8
MO;Aldrich village;96.3;0;1.3;0;2.5;46250;75.5;9.2
IL;Aledo ;98.5;0.6;0;0.3;1.2;46216;93.4;10.8
TX;Aledo ;95.4;0.1;0.6;1;8.5;89934;93.6;3.9
AK;Aleknagik ;15.1;0;75.8;0;0;41875;84;11.6
AK;Aleneva ;100;0;0;0;0;NA;0;0
OK;Alex town;86.2;0.2;8.4;0;3.6;33438;82.5;22
AR;Alexander ;68;13.1;0.6;0.6;19.4;37882;78.1;26.4
IA;Alexander ;96;0;0.6;0;6.9;39375;84.4;28
KS;Alexander ;100;0;0;0;0;45625;90.3;12.9
ND;Alexander ;91.5;1.8;4.9;0;4.9;71250;83.7;1.3
AL;Alexander ;62.2;32;0.2;0.9;4.8;29874;78.1;30.4
NY;Alexander village;97.1;0.2;0;1.2;1.2;56250;94.5;6.7
NY;Alexandria Bay;96.7;0.9;0.2;0.6;2.8;40156;86.6;17.8
PA;Alexandria borough;98.6;0.3;0;0.3;1.4;51932;93.2;9.5
AL;Alexandria ;87.4;10.2;0.3;0.5;0.9;56058;88.8;9.7
IN;Alexandria ;97.4;0.3;0.1;0.2;1.7;39241;81.5;25.6
KY;Alexandria ;97.3;0.6;0.1;0.7;1;68200;93.5;6.4
LA;Alexandria ;38.3;57.3;0.4;1.8;1.8;34579;81.7;25.8
MN;Alexandria ;96.3;0.8;0.4;0.7;1.5;40633;92.6;14.7
MO;Alexandria ;96.9;0.6;0;0;0;27083;85.6;20.4
SD;Alexandria ;98.5;0;0;0.5;1.6;62292;95.8;8.9
VA;Alexandria ;60.9;21.8;0.4;6;16.1;89134;91.5;8.3
TN;Alexandria town;93.4;4.1;0.4;0.2;1.1;50781;86.6;14.5
NE;Alexandria village;93.8;0;0.6;0;2.3;32500;94.4;23.8
OH;Alexandria village;98.5;0;0.6;0;1.2;61912;93.2;8
IL;Alexis village;99;0.4;0.2;0;0.8;55250;91.6;8.1
PA;Alfarata ;99.3;0;0.7;0;0;NA;75.2;0
FL;Alford town;93;2;0.8;0.8;4.1;24792;72.8;34.2
IN;Alfordsville town;99;0;0;0;0;33750;87.3;5.8
TX;Alfred ;64.8;0;0;0;86.8;NA;0;69.4
NY;Alfred village;84.2;7.1;0.2;4.6;4.4;25469;99.4;40.5
WA;Alger ;88.8;0;2.2;1.7;8.4;NA;79.3;35.5
OH;Alger village;97.2;0.2;0.5;0.1;1.2;33036;66.6;25.9
NM;Algodones ;49.5;0.4;13.9;0.9;62.9;46250;84.9;7.3
WI;Algoma ;95.1;0.9;0.6;0.3;2.9;40714;88.5;14.5
MS;Algoma town;78.8;18.1;0;0;1.9;35714;78.1;29.3
IA;Algona ;97.2;0.5;0.1;0.7;1.4;50512;94.4;7.4
WA;Algona ;67.1;3.3;1.7;11.7;15.9;56667;82.7;9
MI;Algonac ;97.1;0.3;0.7;0.1;1.3;40733;88.4;15.3
MD;Algonquin ;95;2.3;0.7;0.3;1.6;72000;92.7;15.9
IL;Algonquin village;87.2;1.7;0.2;7.3;6.8;97839;96.1;3.1
TN;Algood ;92.8;3.3;0.2;0.8;2.5;49375;82;17.1
CA;Alhambra ;28.3;1.5;0.6;52.9;34.4;53582;80.7;15.8
CA;Alhambra Valley;90.7;0.3;0;4.5;8.8;116250;90.5;2.2
IL;Alhambra village;97.8;0.3;0;0.3;0.4;52679;91.6;9.1
AZ;Ali Chuk;0.6;0;96.3;0;12.4;18661;82.4;73.2
AZ;Ali Chukson;0;0;99.2;0;0.8;NA;56.8;17.6
AZ;Ali Molina;2.8;0;97.2;0;4.2;NA;73;62.6
